Year			Revenue

1990			471.621
1991			501.333
1992			532.917
1993			566.491
1994			602.180
1995			640.117
1996			680.445
1997			723.313
1998			768.881
1999			817.321
2000			868.812
2001			923.547
2002			981.731
2003			1043.580
2004			1109.325
2005			1179.213
2006			1253.503
2007			1332.474
2008			1416.419
2009			1505.654
2010			1600.510
2011			1701.342
2012			1808.527
2013			1922.464
2014			2043.579
2015			2172.325
2016			2309.181
2017			2454.660
2018			2609.303
2019			2773.689
2020			2948.432
2021			3134.183
2022			3331.636
2023			3541.530
2024			3764.646
2025			4001.819
2026			4253.933
2027			4521.931
2028			4806.813
2029			5109.642
2030			5431.549
2031			5773.737
2032			6137.482
2033			6524.144
2034			6935.165
2035			7372.080
2036			7836.521
2037			8330.222
2038			8855.026
2039			9412.892
2040			10005.905
2041			10636.277
2042			11306.362
2043			12018.663
2044			12775.839
2045			13580.717
2046			14436.302
2047			15345.789
2048			16312.573
2049			17340.265
2050			18432.702
2051			19593.962
2052			20828.382
2053			22140.570
2054			23535.426
2055			25018.158
2056			26594.302
2057			28269.743
2058			30050.737
2059			31943.933
2060			33956.401
2061			36095.654
2062			38369.680
2063			40786.970
2064			43356.549
2065			46088.012
2066			48991.557
2067			52078.025
2068			55358.940
2069			58846.553
2070			62553.886
2071			66494.781
2072			70683.952
2073			75137.041
2074			79870.675
2075			84902.528
2076			90251.387
2077			95937.224
2078			101981.269
2079			108406.089
2080			115235.673
2081			122495.520
2082			130212.738
2083			138416.140
2084			147136.357
2085			156405.948
2086			166259.523
2087			176733.872
2088			187868.106
2089			199703.797
2090			212285.136
2091			225659.100
2092			239875.623
2093			254987.788
2094			271052.018
2095			288128.295
2096			306280.378
2097			325576.042
2098			346087.332
2099			367890.834
2100			391067.957
2101			415705.238
2102			441894.668
2103			469734.032
2104			499327.276
2105			530784.895
2106			564224.343
2107			599770.477
2108			637556.017
2109			677722.046
2110			720418.535
2111			765804.902
2112			814050.611
2113			865335.800
2114			919851.955
2115			977802.628
2116			1039404.194
2117			1104886.658
